"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.612441000E0,5.337638117E-2,-8.789205663E-3,-1.096996129E-2,5.519627029E-2
2.622371000E0,6.228026535E-2,2.674321380E-2,-5.930246115E-3,6.803821541E-2
2.632302000E0,9.402523767E-2,5.470041007E-2,1.978580832E-2,1.105638204E-1
2.642232000E0,9.313724661E-2,3.130583272E-2,3.633108974E-2,1.047594862E-1
2.652162000E0,-3.753711451E-3,-1.798491159E-2,7.409299314E-2,7.633687855E-2
2.662092000E0,-5.056441862E-2,1.825945206E-2,1.473457414E-1,1.568468537E-1
2.672023000E0,-7.249544246E-2,2.490750785E-2,1.346800876E-1,1.549667678E-1
2.681953000E0,-5.077177551E-2,-6.733196732E-3,4.339277208E-2,6.712705710E-2
2.691883000E0,1.283451045E-2,-6.095676636E-4,4.929729044E-2,5.094427423E-2
2.701814000E0,1.552764662E-2,-1.286157666E-2,1.572304595E-1,1.585179654E-1
2.711744000E0,-2.342284955E-3,-5.375780693E-2,1.925645989E-1,1.999412735E-1
2.721674000E0,8.916236423E-3,-4.564653567E-2,1.371978986E-1,1.448667280E-1
2.731605000E0,-2.103515731E-2,-3.252646183E-3,7.765277803E-2,8.051715026E-2
2.741535000E0,-6.748545673E-2,3.260739095E-2,4.055745721E-2,8.521992812E-2
2.751465000E0,-7.583988536E-2,-2.669448548E-2,-1.773460507E-3,8.042032659E-2
2.761396000E0,-2.594835335E-2,7.437493400E-2,-1.748025119E-2,8.068771301E-2
2.771326000E0,-1.974970177E-2,-1.312189653E-2,9.238366842E-2,9.537807442E-2
2.781256000E0,-2.182973910E-2,-5.755901330E-2,1.228739744E-1,1.374321328E-1
2.791186000E0,2.973528430E-3,3.260407905E-2,6.638168514E-2,7.401618717E-2
2.801117000E0,3.405242980E-2,1.689189796E-2,-4.163217545E-3,3.823920203E-2
2.811047000E0,2.908629818E-2,-1.224013641E-2,7.456252456E-2,8.096544787E-2
2.820977000E0,-1.706272345E-3,3.222140162E-3,7.817318022E-2,7.825816033E-2
2.830908000E0,-2.466638787E-2,2.754897839E-2,1.295158267E-2,3.918061248E-2
2.840838000E0,-5.329042710E-3,2.964280693E-2,1.422861457E-2,3.330988099E-2
2.850768000E0,1.425322769E-2,1.211220573E-2,3.225791931E-2,3.728851546E-2
2.860699000E0,-6.333265454E-4,1.760712435E-2,7.300658047E-2,7.510241489E-2
2.870629000E0,-1.078073077E-2,-3.091782199E-2,8.577339113E-2,9.181073193E-2
2.880559000E0,3.528743483E-2,-3.253660081E-2,1.043915105E-1,1.148974365E-1
2.890490000E0,7.138353959E-4,-1.559926359E-2,7.631785870E-2,7.789905097E-2
2.900420000E0,-8.375405520E-3,-3.217158609E-2,8.358010054E-2,8.994882753E-2
2.910350000E0,-3.072415810E-2,-1.612216227E-2,1.010258532E-1,1.068181680E-1
2.920280000E0,-9.324225895E-3,7.621023338E-4,9.630598068E-2,9.675930913E-2
2.930211000E0,-6.375694312E-3,1.567352094E-2,6.987305760E-2,7.189264855E-2
2.940141000E0,6.850744039E-3,2.518616423E-2,3.939210713E-2,4.725477401E-2
2.950071000E0,3.121024445E-2,2.689366997E-2,6.921641529E-2,8.054974232E-2
2.960002000E0,2.511035599E-2,1.967738816E-3,9.797419131E-2,1.011599928E-1
2.969932000E0,-1.356429778E-2,-7.014411259E-3,8.556698442E-2,8.691893327E-2
2.979862000E0,-3.841697428E-2,1.650965451E-2,7.795975685E-2,8.846556558E-2
2.989793000E0,-3.162952635E-2,1.392871179E-2,7.862633944E-2,8.588676966E-2
2.999723000E0,-2.761603408E-3,-2.071485780E-3,4.563342512E-2,4.576381753E-2
